539, [103 (245, 181, 110)]
540, [103 (245, 181, 109)]
541, [103 (245, 181, 107)]
542, [103 (245, 181, 94)]
543, [102 (245, 180, 114)]
544, [101 (245, 180, 112)]
545, [101 (245, 180, 98)]
546, [101 (245, 180, 96)]
547, [101 (245, 179, 105)]
548, [101 (245, 179, 101)]
549, [101 (245, 179, 95)]
550, [101 (245, 179, 93)]
551, [101 (245, 179, 85)]
552, [101 (245, 179, 83)]
553, [101 (245, 178, 107)]
554, [100 (245, 178, 99)]
555, [100 (245, 178, 97)]
556, [100 (245, 178, 91)]
557, [100 (245, 178, 89)]
558, [100 (245, 177, 116)]
559, [100 (245, 177, 106)]
560, [100 (245, 177, 104)]
561, [99 (245, 177, 102)]
562, [99 (245, 177, 96)]
563, [99 (245, 177, 94)]
564, [99 (245, 177, 92)]
565, [99 (245, 176, 99)]
566, [99 (245, 176, 98)]
567, [99 (245, 176, 85)]
568, [99 (245, 176, 83)]
569, [98 (245, 176, 73)]
570, [98 (245, 175, 106)]
571, [98 (245, 175, 105)]
572, [98 (245, 175, 90)]
573, [98 (245, 175, 87)]
574, [98 (245, 175, 80)]
575, [98 (245, 174, 112)]
576, [98 (245, 174, 110)]
577, [98 (245, 174, 96)]
578, [97 (245, 174, 94)]
579, [97 (245, 174, 92)]
580, [97 (245, 174, 86)]
581, [96 (245, 174, 84)]
582, [96 (245, 174, 82)]
583, [96 (245, 173, 99)]
584, [96 (245, 173, 97)]
585, [96 (245, 173, 91)]
586, [96 (245, 173, 89)]
587, [96 (245, 173, 88)]
588, [96 (245, 172, 103)]
589, [95 (245, 172, 95)]
590, [95 (245, 172, 93)]
591, [95 (245, 172, 80)]
592, [95 (245, 171, 98)]
593, [95 (245, 171, 96)]
594, [95 (245, 171, 86)]
595, [94 (245, 171, 82)]
596, [94 (245, 171, 76)]
597, [94 (245, 170, 102)]
598, [94 (245, 170, 79)]
599, [94 (245, 169, 93)]
600, [94 (245, 169, 91)]
601, [93 (245, 169, 83)]
602, [93 (245, 169, 81)]
603, [93 (245, 168, 114)]
604, [93 (245, 168, 96)]
605, [93 (245, 168, 78)]
606, [93 (245, 167, 119)]
607, [93 (245, 167, 85)]
608, [93 (245, 167, 84)]
609, [92 (245, 166, 74)]
610, [92 (245, 165, 112)]
611, [92 (245, 165, 94)]
612, [92 (245, 164, 98)]
613, [92 (245, 164, 82)]
614, [92 (245, 163, 79)]
615, [92 (245, 160, 77)]
616, [92 (245, 154, 83)]
617, [91 (245, 143, 79)]
618, [91 (244, 186, 89)]
619, [91 (244, 186, 87)]
620, [91 (244, 184, 98)]
621, [91 (244, 183, 94)]
622, [91 (244, 183, 92)]
623, [90 (244, 182, 107)]
624, [90 (244, 182, 99)]
625, [90 (244, 182, 97)]
626, [90 (244, 182, 95)]
627, [90 (244, 181, 110)]
628, [90 (244, 181, 104)]
629, [90 (244, 181, 102)]
630, [90 (244, 181, 101)]
631, [90 (244, 181, 88)]
632, [90 (244, 180, 109)]
633, [90 (244, 180, 108)]
634, [90 (244, 180, 106)]
635, [89 (244, 180, 93)]
636, [89 (244, 179, 115)]
637, [89 (244, 179, 113)]
638, [89 (244, 179, 99)]
639, [89 (244, 179, 97)]
640, [89 (244, 179, 95)]
641, [89 (244, 179, 87)]
642, [88 (244, 178, 120)]
643, [88 (244, 178, 104)]
644, [88 (244, 178, 102)]
645, [88 (244, 178, 100)]
646, [88 (244, 178, 92)]
647, [88 (244, 178, 91)]
648, [88 (244, 177, 106)]
649, [88 (244, 177, 99)]
650, [88 (244, 177, 98)]
651, [88 (244, 177, 96)]
652, [88 (244, 177, 90)]
653, [88 (244, 176, 103)]
654, [88 (244, 176, 95)]
655, [88 (244, 176, 93)]
656, [88 (244, 175, 100)]
657, [88 (244, 175, 98)]
658, [88 (244, 175, 97)]
659, [88 (244, 175, 84)]
660, [87 (244, 174, 105)]
661, [87 (244, 174, 102)]
662, [87 (244, 174, 89)]
663, [87 (244, 174, 88)]
664, [87 (244, 174, 86)]
665, [87 (244, 174, 79)]
666, [87 (244, 174, 78)]
667, [87 (244, 174, 76)]
668, [86 (244, 173, 111)]
669, [86 (244, 173, 107)]
670, [86 (244, 173, 95)]
671, [86 (244, 173, 93)]
672, [86 (244, 173, 91)]
673, [86 (244, 173, 85)]
674, [86 (244, 173, 83)]
675, [86 (244, 173, 81)]
676, [86 (244, 172, 98)]
677, [86 (244, 172, 96)]
678, [86 (244, 172, 90)]
679, [86 (244, 172, 88)]
680, [86 (244, 172, 87)]
681, [86 (244, 171, 94)]
682, [86 (244, 171, 92)]
683, [85 (244, 171, 77)]
684, [85 (244, 171, 76)]
685, [85 (244, 171, 69)]
686, [85 (244, 171, 68)]
687, [85 (244, 170, 97)]
688, [85 (244, 170, 95)]
689, [85 (244, 170, 85)]
690, [85 (244, 170, 83)]
691, [85 (244, 170, 75)]
692, [85 (244, 169, 111)]
693, [84 (244, 169, 88)]
694, [84 (244, 169, 86)]
695, [84 (244, 168, 93)]
696, [84 (244, 168, 92)]
697, [84 (244, 168, 90)]
698, [84 (244, 168, 80)]
699, [84 (244, 167, 95)]
700, [84 (244, 167, 87)]
701, [84 (244, 167, 79)]
702, [83 (244, 166, 65)]
703, [83 (244, 165, 90)]
704, [83 (244, 165, 64)]
705, [83 (244, 164, 95)]
706, [83 (244, 163, 97)]
707, [83 (244, 163, 81)]
708, [83 (244, 162, 89)]
709, [83 (244, 162, 86)]
710, [83 (244, 162, 80)]
711, [83 (244, 160, 70)]
712, [82 (244, 155, 87)]
713, [82 (244, 153, 74)]
714, [82 (243, 185, 112)]
715, [82 (243, 183, 95)]
716, [82 (243, 183, 85)]
717, [82 (243, 182, 101)]
718, [82 (243, 182, 99)]
719, [82 (243, 182, 93)]
720, [82 (243, 181, 106)]
721, [81 (243, 181, 98)]
722, [81 (243, 181, 96)]
723, [81 (243, 181, 94)]
724, [81 (243, 180, 111)]
725, [81 (243, 180, 109)]
726, [81 (243, 180, 103)]
727, [81 (243, 180, 101)]
728, [81 (243, 180, 100)]
729, [81 (243, 179, 108)]
730, [81 (243, 179, 107)]
731, [80 (243, 179, 105)]
732, [80 (243, 179, 92)]
733, [80 (243, 179, 91)]
734, [80 (243, 179, 89)]
735, [80 (243, 178, 114)]
736, [80 (243, 178, 112)]
737, [79 (243, 178, 110)]
738, [79 (243, 178, 98)]
739, [79 (243, 178, 96)]
740, [79 (243, 178, 94)]
741, [79 (243, 178, 78)]
742, [79 (243, 178, 76)]
743, [79 (243, 177, 116)]
744, [79 (243, 177, 103)]
745, [79 (243, 177, 101)]
746, [79 (243, 177, 99)]
747, [79 (243, 177, 93)]
748, [79 (243, 177, 91)]
749, [79 (243, 177, 90)]
750, [79 (243, 176, 106)]
751, [78 (243, 176, 105)]
752, [78 (243, 176, 97)]
753, [78 (243, 176, 95)]
754, [78 (243, 176, 89)]
755, [78 (243, 176, 87)]
756, [78 (243, 176, 85)]
757, [78 (243, 175, 102)]
758, [78 (243, 175, 94)]
759, [78 (243, 175, 92)]
760, [78 (243, 175, 90)]
761, [78 (243, 175, 66)]
762, [78 (243, 174, 107)]
763, [78 (243, 174, 99)]
764, [78 (243, 174, 97)]
765, [78 (243, 174, 96)]
766, [77 (243, 173, 104)]
767, [77 (243, 173, 103)]
768, [77 (243, 173, 88)]
769, [77 (243, 173, 87)]
770, [77 (243, 173, 85)]
771, [77 (243, 173, 78)]
772, [77 (243, 172, 110)]
773, [77 (243, 172, 106)]
774, [76 (243, 172, 94)]
775, [76 (243, 172, 92)]
776, [76 (243, 172, 90)]
777, [76 (243, 172, 84)]
778, [76 (243, 172, 82)]
779, [76 (243, 172, 80)]
780, [76 (243, 171, 112)]
781, [76 (243, 171, 97)]
782, [76 (243, 171, 89)]
783, [76 (243, 171, 87)]
784, [76 (243, 171, 86)]
785, [76 (243, 170, 102)]
786, [76 (243, 170, 93)]
787, [75 (243, 170, 91)]
788, [75 (243, 169, 96)]
789, [75 (243, 169, 94)]
790, [75 (243, 169, 84)]
791, [75 (243, 169, 82)]
792, [75 (243, 169, 80)]
793, [75 (243, 168, 110)]
794, [75 (243, 168, 103)]
795, [75 (243, 168, 100)]
796, [75 (243, 168, 87)]
797, [75 (243, 168, 85)]
798, [75 (243, 168, 77)]
799, [75 (243, 167, 92)]
800, [74 (243, 167, 91)]
801, [74 (243, 167, 89)]
802, [74 (243, 166, 110)]
803, [74 (243, 166, 62)]
804, [74 (243, 164, 89)]
805, [74 (243, 164, 87)]
806, [74 (243, 163, 94)]
807, [74 (243, 163, 78)]
808, [74 (243, 163, 76)]
809, [74 (243, 162, 80)]
810, [74 (243, 161, 87)]
811, [74 (243, 161, 77)]
812, [74 (243, 159, 69)]
813, [74 (243, 158, 67)]
814, [74 (243, 155, 83)]
815, [74 (243, 151, 84)]
816, [73 (243, 136, 66)]
817, [73 (242, 184, 85)]
818, [73 (242, 182, 96)]
819, [73 (242, 181, 100)]
820, [73 (242, 181, 98)]
821, [73 (242, 181, 92)]
822, [73 (242, 181, 88)]
823, [73 (242, 180, 97)]
824, [73 (242, 180, 95)]
825, [73 (242, 180, 93)]
826, [73 (242, 179, 112)]
827, [73 (242, 179, 108)]
828, [73 (242, 179, 102)]
829, [73 (242, 179, 100)]
830, [72 (242, 179, 99)]
831, [72 (242, 179, 84)]
832, [72 (242, 178, 107)]
833, [72 (242, 178, 106)]
834, [72 (242, 178, 104)]
835, [72 (242, 178, 91)]
836, [72 (242, 177, 113)]
837, [72 (242, 177, 111)]
838, [72 (242, 177, 109)]
839, [72 (242, 177, 97)]
840, [72 (242, 177, 95)]
841, [72 (242, 177, 93)]
842, [72 (242, 177, 87)]
843, [72 (242, 177, 85)]
844, [72 (242, 176, 118)]
845, [72 (242, 176, 115)]
846, [72 (242, 176, 100)]
847, [72 (242, 176, 98)]
848, [72 (242, 176, 92)]
849, [72 (242, 176, 90)]
850, [72 (242, 176, 89)]
851, [72 (242, 176, 66)]
852, [71 (242, 176, 63)]
853, [71 (242, 175, 104)]
854, [71 (242, 175, 96)]
855, [71 (242, 175, 94)]
856, [71 (242, 175, 86)]
857, [71 (242, 174, 103)]
858, [71 (242, 174, 99)]
859, [71 (242, 174, 93)]
860, [71 (242, 174, 91)]
861, [71 (242, 174, 89)]
862, [71 (242, 173, 98)]
863, [70 (242, 173, 96)]
864, [70 (242, 173, 95)]
865, [70 (242, 172, 87)]
866, [70 (242, 172, 86)]
867, [70 (242, 172, 84)]
868, [70 (242, 172, 76)]
869, [70 (242, 172, 74)]
870, [70 (242, 171, 107)]
871, [70 (242, 171, 93)]
